adcode,name,lon,lat,province_adcode,suggestion_count,density,sample_hotels
110000,北京市,116.4074,39.9042,110000,10,10+,北京国贸中心团结湖亚朵酒店；北京临空新国展亚朵酒店；北京国贸CBD华贸中心亚朵酒店；北京天坛左安门亚朵酒店；北京鼓楼后海亚朵酒店；北京国贸地铁站双井亚朵酒店；北京潘家园十里河亚朵酒店；北京南站右安门桥亚朵酒店；北京鸟巢奥体中心亚朵酒店；北京中关村学院桥地铁站亚朵酒店
120000,天津市,117.2000,39.1333,120000,10,10+,天津南开鼓楼亚朵酒店；天津津湾广场五大道公园亚朵酒店；天津大学海光寺亚朵酒店；天津之眼亚朵酒店；天津站津湾广场亚朵酒店；天津空港滨海国际机场亚朵酒店；天津中北工业园新科道亚朵酒店；天津大学鞍山西道地铁站亚朵酒店；天津奥体中心环湖中路亚朵酒店；天津之眼新开河地铁站亚朵酒店
130100,石家庄市,114.502461,38.045474,130000,10,10+,石家庄站西广场亚朵酒店；石家庄裕华东二环亚朵酒店；石家庄万象城艺术中心亚朵酒店；石家庄站东广场亚朵酒店；石家庄长安万达中山东路亚朵酒店；石家庄站槐安东路亚朵酒店；石家庄站建设南大街亚朵酒店；石家庄北国商城南三条步行街亚朵酒店；石家庄鹿泉君乐宝路亚朵酒店；石家庄长安万达朝晖桥亚朵酒店
130200,唐山市,118.175393,39.635113,130000,2,1-9,唐山会展中心亚朵轻居酒店(建设路店)-停车场；唐山会展中心亚朵轻居酒店(建设路店)停车场-出入口
130300,秦皇岛市,119.586579,39.942531,130000,9,1-9,秦皇岛南戴河仙螺岛林海道亚朵酒店；秦皇岛站迎宾路亚朵酒店；秦皇岛站北港大街亚朵酒店；秦皇岛山海关古城关城南路亚朵酒店；秦皇岛北戴河洲顿亚朵酒店；秦皇岛金梦海湾兴龙香玺海亚朵见野酒店；亚朵酒店(秦皇岛南戴河仙螺岛店)会议厅；秦皇岛南戴河仙螺岛林海道亚朵酒店-地上停车场；亚朵酒店(秦皇岛北戴河洲顿店)-地上停车场
130400,邯郸市,114.490686,36.612273,130000,9,1-9,邯郸东站万象汇亚朵酒店；邯郸新世纪丛台公园亚朵酒店；邯郸东站万象汇亚朵酒店-地下停车场；邯郸新世纪丛台公园亚朵酒店-地下停车场；邯郸东站万象汇亚朵酒店地下停车场-入口；邯郸新世纪丛台公园亚朵酒店地下停车场-入口；特来电充电站(邯郸东站万象汇亚朵酒店充电站)；陌上轻居酒店(邯郸丛台火车站店)；途客中国轻居酒店(邯郸冀南新区科创城店)
130500,邢台市,114.508851,37.0682,130000,4,1-9,邢台天一广场德龙中心亚朵酒店；紫金亚朵酒店；亚朵酒店-地下停车场；亚朵酒店地下停车场-出入口
130600,保定市,115.482331,38.867657,130000,3,1-9,保定万博广场东风中路亚朵酒店；保定东站河大新校区亚朵酒店；保定万博广场东风中路亚朵酒店-地下停车场
130700,张家口市,114.884091,40.811901,130000,6,1-9,亚朵酒店(张家口高铁站市民中心店)；亚朵酒店(张家口市政府清水河南路店)；涿鹿亚朵酒店(合符大街店)；亚朵酒店(张家口市政府清水河南路店)-地上停车场；亚朵酒店-地下停车场；亚朵酒店(张家口市政府清水河南路店)地上停车场-出入口
130800,承德市,117.939152,40.976204,130000,2,1-9,承德避暑山庄火神庙亚朵酒店；承德避暑山庄火神庙亚朵酒店-西南门
130900,沧州市,116.857461,38.310582,130000,2,1-9,亚朵酒店(裕华中路店)停车场-出入口；途客轻居酒店(泊头火车站店)
131000,廊坊市,116.704441,39.523927,130000,8,1-9,廊坊万达广场西昌路亚朵酒店；廊坊站光明桥亚朵酒店；三河燕郊开发区燕郊站亚朵酒店；亚朵酒店廊坊高铁站店大堂；廊坊高铁站亚朵酒店-地上停车场；廊坊高铁站亚朵酒店地上停车场-出入口；三河燕郊开发区高铁站亚朵酒店-地上停车场；TUKE丨途客中国轻居酒店(廊坊香河家具城店)
131100,衡水市,115.665993,37.735097,130000,4,1-9,衡水中学人民东路亚朵酒店；亚朵酒店；衡水人民路亚朵酒店(衡水人民路店)-门前停车场；衡水人民路亚朵酒店(衡水人民路店)门前停车场-入口
140100,太原市,112.549248,37.857014,140000,10,10+,太原滨河学府街亚朵酒店；太原IF PARK国金中心长治路亚朵酒店；太原南站晋阳街亚朵酒店；太原东峰路朝阳街亚朵酒店；太原晋祠路山西博物院亚朵酒店；太原南站体育路亚朵酒店；太原昌盛万达龙盛街亚朵酒店；太原迎泽区南内环地铁站亚朵酒店；太原山西博物院理工大学亚朵酒店；太原长风商务区万象城亚朵酒店
140200,大同市,113.295259,40.09031,140000,8,1-9,大同东信广场亚朵酒店；大同南站万达广场亚朵酒店；大同平城西环路亚朵酒店；大同东信广场亚朵酒店·餐厅；大同东信广场亚朵酒店(大同东信广场店)西侧-门前停车场；大同东信广场亚朵酒店(大同东信广场店)西侧门前停车场-入口；大同东信广场亚朵酒店-北门；大同东信广场亚朵酒店(大同东信广场店)西侧门前停车场-出口
140300,阳泉市,113.583285,37.861188,140000,0,0,
140400,长治市,113.113556,36.191112,140000,1,1-9,长治高铁东站威远门北路亚朵酒店
140500,晋城市,112.851274,35.497553,140000,6,1-9,晋城开发区兰花路亚朵酒店；晋城文体宫泽州路亚朵酒店；晋城高平高铁东站智创城亚朵酒店；晋城泽州路亚朵酒店大堂；晋城开发区兰花路亚朵酒店大堂(政务中心店)；高平高铁东站亚朵酒店大堂
140600,朔州市,112.433387,39.331261,140000,1,1-9,途客轻居酒店(朔州师范山西工学院店)
140700,晋中市,112.736465,37.696495,140000,5,1-9,晋中榆次大学城亚朵酒店；晋中榆次印象城亚朵酒店；介休北坛西路同文学院亚朵酒店；平遥古城太和门亚朵酒店；兖充电亚朵酒店充电站
140800,运城市,111.003957,35.022778,140000,2,1-9,运城博物馆铺安街亚朵酒店；亚朵酒店停车场
140900,忻州市,112.733538,38.41769,140000,5,1-9,亚朵酒店(忻州古城店)；忻州古城酒吧街亚朵酒店；忻州西站雁门西大道亚朵酒店；陌上轻居酒店(忻州开来购物广场店)；五台山五爷庙金界里亚朵见野酒店
141000,临汾市,111.517973,36.08415,140000,7,1-9,侯马新田广场亚朵酒店；临汾金海湾艺术中心向阳西路亚朵轻居酒店；临汾金海湾艺术中心向阳西路亚朵酒店；临汾金海湾艺术中心亚朵酒店·自助餐厅；蔚来充电站(临汾金海湾亚朵酒店站)；临汾车站街亚朵酒店(临汾车站街店)-停车场；临汾车站街亚朵酒店(临汾车站街店)停车场-出入口
141100,吕梁市,111.134335,37.524366,140000,3,1-9,吕梁中央公园亚朵酒店；吕梁交城南环路亚朵酒店；云快充充电站(吕梁市中央公园亚朵酒店充电站(新))
150100,呼和浩特市,111.670801,40.818311,150000,10,10+,呼和浩特青城之眼银河南街亚朵酒店；呼和浩特国际会展中心大学东街亚朵酒店；呼和浩特东站内蒙古博物院亚朵酒店；呼和浩特摩尔城新华大街亚朵酒店；呼和浩特万达广场新华大街亚朵酒店；呼和浩特大召寺海亮广场亚朵酒店；呼和浩特满都海公园乌兰察布西街亚朵酒店；呼和浩特大召寺宝尔汗佛塔亚朵酒店；呼和浩特万象城锡林郭勒南路亚朵酒店；呼和浩特和林格尔数聚小镇亚朵酒店
150200,包头市,109.840405,40.658168,150000,4,1-9,包头国际会展中心亚朵酒店；包头稀土高新亚朵酒店；亚朵酒店(包头国际会展中心店)-门前停车场；亚朵酒店(包头国际会展中心店)门前停车场-入口
150300,乌海市,106.825563,39.673734,150000,0,0,
150400,赤峰市,118.956806,42.275317,150000,5,1-9,赤峰红山区商业步行街亚朵酒店；赤峰红山万达广场体育中心亚朵酒店；亚朵酒店-停车场；昆仑网电汽车充电站(亚朵酒店红山体育中心店站)；特来电充电站(赤峰亚朵酒店充电站)
150500,通辽市,122.263119,43.617429,150000,3,1-9,通辽万达广场西拉木伦大街亚朵酒店；通辽站民航路亚朵酒店；亚朵主题电竞宾馆(老哈河大街店)
150600,鄂尔多斯市,109.99029,39.817179,150000,5,1-9,鄂尔多斯东胜区青铜广场亚朵酒店；鄂尔多斯东胜区全民健身中心亚朵酒店；亚朵酒店(鑫隆综合商务楼店)-地上停车场；亚朵酒店(鑫隆综合商务楼店)地上停车场-入口；鄂尔多斯东胜区青铜广场亚朵酒店(鑫隆综合商务楼店)地上停车场-出口
